Nama Cabang,Provinsi,Kab/Kota,Cabang
1046.1-G.Bandung - Pasir Kaliki (BDGPAS),Jawa Barat,Bandung,BDGPAS
1047.1-G.Semarang - Veteran (SMGVET),Jawa Tengah,Semarang,SMGVET
1048.1-G.Surakarta - Slamet Riyadi (SKTSLA),Jawa Tengah,Kartasura,SKTSLA
1049.1-G.Depok - Margonda (DPKMAR),Jawa Barat,Depok,DPKMAR
1050.1-G.Surabaya - Margorejo (SBYMAR),Jawa Timur,Surabaya,SBYMAR
1051.1-G.Malang - Raya Tlogomas (MLGTLO),Jawa Timur,Malang,MLGTLO
1052.1-G.Malang - Raya Mondoroko (MLGMON),Jawa Timur,Malang,MLGMON
1053.1-G.Bogor - Raya Padjajaran (BGRPAD),Jawa Barat,Bogor,BGRPAD
1054.1-G.Surakarta - Jendral Urip Sumohar (SKTURI),Jawa Tengah,Surakarta,SKTURI
1055.1-G.Sleman - Magelang (SMNMAG),Daerah Istimewa Yogyakarta,Sleman,SMNMAG
1056.1-G.Jaksel - Tebet (KYBTEB),Daerah Khusus Ibukota Jakarta,Jakarta Selatan,KYBTEB
1057.1-G.Surabaya - Mayjen Sungkono (SBYSUN),Jawa Timur,Surabaya,SBYSUN
1058.1-G.Bandung - Dago (BDGDAG),Jawa Barat,Bandung,BDGDAG
1059.1-G.Bekasi - Juanda (BKSJUA),Jawa Barat,Bekasi,BKSJUA
1060.1-G.Bekasi - M.H. Thamrin (CKRTHA),Jawa Barat,Bekasi,CKRTHA
1061.1-G.Sidoarjo - Pabean Raya (SDAPAB),Jawa Timur,Sidoarjo,SDAPAB
1062.1-G.Bekasi - Raya Jatiwaringin (BKSJAT),Jawa Barat,Bekasi,BKSJAT
1063.1-G.Tangerang - Ciledug Raya (TNGCIL),Banten,Tangerang,TNGCIL
1064.1-G.Yogyakarta - Sonosewu (YYKSON),Daerah Istimewa Yogyakarta,Yogyakarta,YYKSON
1065.1-G.Surabaya - Kenjeran (SBYKEN),Jawa Timur,Surabaya,SBYKEN
1066.1-G.Bandung - Gatot Subroto (BDGGAT),Jawa Barat,Bandung,BDGGAT
1067.1-G.Bandung - Surya Sumantri (BDGSUR),Jawa Barat,Bandung,BDGSUR
